************
Ruijie#terminal length 0
Ruijie#show ip arp
Protocol  Address          Age(min)  Hardware        Type   Interface               
Internet  162.100.0.1      40        f074.8dc1.757c  arpa   VLAN 100                
Internet  162.100.0.2      40        f074.8dc1.9fcc  arpa   VLAN 100                
Internet  162.100.0.3      40        f074.8dc1.a014  arpa   VLAN 100                
Internet  162.100.0.4      42        f074.8dc1.7154  arpa   VLAN 100                
Internet  162.100.0.5      40        f074.8dc1.6dcc  arpa   VLAN 100                
Internet  162.100.0.7      40        f074.8dc1.73ec  arpa   VLAN 100                
Internet  162.100.0.8      42        f074.8dc1.929c  arpa   VLAN 100                
Internet  162.100.0.9      43        f074.8dc1.7894  arpa   VLAN 100                
Internet  162.100.0.10     40        f074.8dc1.6e84  arpa   VLAN 100                
Internet  162.100.0.11     0         f074.8dc1.9344  arpa   VLAN 100                
Internet  162.100.0.12     40        f074.8dc1.8d9c  arpa   VLAN 100                
Internet  162.100.0.13     44        f074.8dc1.93fc  arpa   VLAN 100                
Internet  162.100.0.14     15        f074.8dc1.6fec  arpa   VLAN 100                
Internet  162.100.0.15     46        f074.8dc1.9004  arpa   VLAN 100                
Internet  162.100.0.16     59        f074.8dc1.93d4  arpa   VLAN 100                
Internet  162.100.0.17     43        f074.8dc1.7ae4  arpa   VLAN 100                
Internet  162.100.0.18     27        f074.8dc1.9b8c  arpa   VLAN 100                
Internet  162.100.0.19     27        f074.8dc1.47ec  arpa   VLAN 100                
Internet  162.100.0.20     45        f074.8dc1.963c  arpa   VLAN 100                
Internet  162.100.0.21     41        f074.8dc1.9ffc  arpa   VLAN 100                
Internet  162.100.0.22     15        f074.8dc1.442c  arpa   VLAN 100                
Internet  162.100.0.23     59        f074.8dc1.7e14  arpa   VLAN 100                
Internet  162.100.0.24     23        f074.8dc1.9124  arpa   VLAN 100                
Internet  162.100.0.25     40        f074.8dc1.663c  arpa   VLAN 100                
Internet  162.100.0.26     40        f074.8dc1.6674  arpa   VLAN 100                
Internet  162.100.0.27     40        f074.8dc1.8954  arpa   VLAN 100                
Internet  162.100.0.28     44        f074.8dc1.81cc  arpa   VLAN 100                
Internet  162.100.0.29     43        f074.8dc1.92b4  arpa   VLAN 100                
Internet  162.100.0.30     10        f074.8dc1.9184  arpa   VLAN 100                
Internet  162.100.0.31     40        f074.8dc1.8cac  arpa   VLAN 100                
Internet  162.100.0.32     22        f074.8dc1.6b64  arpa   VLAN 100                
Internet  162.100.0.33     58        f074.8dc1.8dfc  arpa   VLAN 100                
Internet  162.100.0.34     57        f074.8dc1.72d4  arpa   VLAN 100                
Internet  162.100.0.35     43        f074.8dc1.8cdc  arpa   VLAN 100                
Internet  162.100.0.36     56        f074.8dc1.722c  arpa   VLAN 100                
Internet  162.100.0.37     43        f074.8dc1.96dc  arpa   VLAN 100                
